Values,Moved_to
Billy Knight\knighbi01,East
Gary Brokaw\brokaga01,East
Bob Dandridge\dandrbo01,East
Swen Nater\natersw01,East
Ted McClain\mcclate01,East
Ollie Johnson\johnsol01,East
Slick Watts\wattssl01,East
Marvin Barnes\barnema01,East
Larry McNeill\mcneila01,East
Kermit Washington\washike01,East
Scott Lloyd\lloydsc01,East
Robin Jones\jonesro01,East
Bob Bigelow\bigelbo01,East
Mike Green\greenmi01,East
George Johnson\johnsge02,East
C.J. Kupec\kupeccj01,East
Don Chaney\chanedo01,East
Kevin Porter\porteke01,East
Charles Johnson\johnsch01,East
Howard Porter\porteho01,East
Darnell Hillman\hillmda01,East
Wil Jones\joneswi02,East
Lou Hudson\hudsolo01,West
Bobby Wilson\wilsobo03,West
Tom Owens\owensto01,West
John Williamson\willijo01,West
Al Skinner\skinnal01,West
Ron Behagen\behagro01,West
Charlie Scott*\scottch01,West
Mack Calvin\calvima01,West
John Shumate\shumajo01,West
Norm Cook\cookno01,West
E.C. Coleman\colemec01,West
Gus Gerard\gerargu01,West
Adrian Dantley*\dantlad01,West
Nate Williams\willina01,West
John Johnson\johnsjo01,West
John Gianelli\gianejo01,West
Jim Ard\ardji01,West
