Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar*\abdulka01,C,29,LAL,82,3016,27.8,0.608,,0.35,9.2,27.2,18.4,16.8,1.5,4.4,,,11.9,5.9,17.8,0.283,7.7,3,10.8,9.7
2,Bob Lanier*\laniebo01,C,28,DET,64,2446,23,0.573,,0.251,8.5,23.1,15.8,12.9,1.3,2.7,,,7.5,2.8,10.3,0.203,4.6,1.2,5.8,4.8
3,Bill Walton*\waltobi01,C,24,POR,65,2264,22.9,0.563,,0.352,9.8,32.3,21.2,15.4,1.3,5,,,5.4,4.8,10.2,0.215,2.9,4.1,7,5.1
4,Bob McAdoo*\mcadobo01,C,25,TOT,72,2798,21.8,0.557,,0.357,7.5,26.6,17.2,11.5,1.2,1.8,,,5.8,3.8,9.6,0.164,3,0.3,3.4,3.8
5,Artis Gilmore*\gilmoar01,C,27,CHI,82,2877,21.6,0.566,,0.537,11.2,27.7,19.4,11.1,0.7,3.9,,,6.7,5.5,12.2,0.203,2.8,2.1,5,5.1
6,George Gervin*\gervige01,SF,24,SAS,82,2705,21.4,0.604,,0.399,5.2,12,8.6,13.1,1.7,1.9,,,8.7,1.8,10.5,0.187,4.8,-1,3.8,4
7,Paul Westphal\westppa01,PG,26,PHO,81,2600,21.4,0.571,,0.333,2.4,5.5,3.9,29.4,2.3,0.4,,,6.9,2.7,9.6,0.178,5.5,-1.4,4.1,4
8,Dan Issel*\isselda01,C,28,DEN,79,2507,21.2,0.578,,0.435,8.8,19.3,14.2,11,1.6,0.6,,,7.1,3.8,10.9,0.208,3.5,-0.4,3.1,3.2
9,Bobby Jones\jonesbo01,PF,25,DEN,82,2419,21.1,0.605,,0.374,7.5,20.8,14.3,15.6,3.3,3.4,,,5.5,5.5,11,0.219,3.1,4.6,7.7,6
10,Julius Erving*\ervinju01,SF,26,PHI,82,2940,20.9,0.553,,0.375,6.9,16.2,11.8,15.9,2.4,1.9,,,6.8,4.8,11.5,0.188,3.3,1.6,4.9,5.1
11,George McGinnis*\mcginge01,PF,26,PHI,79,2769,20.8,0.503,,0.379,12.4,20.1,16.5,16.8,2.6,0.7,,,3.7,4.9,8.6,0.149,3.2,1.2,4.5,4.5
12,Dean Tolson\tolsode01,PF,25,SEA,60,587,20.8,0.575,,0.657,12.3,15.4,13.8,7.2,2.4,1.9,,,1.2,0.8,2,0.166,2.7,-0.9,1.9,0.6
13,Alvan Adams\adamsal01,C,22,PHO,72,2278,20.2,0.519,,0.303,8.5,22.3,15.4,22.3,1.9,2.1,,,2.3,4,6.3,0.134,3.1,2.6,5.7,4.4
14,John Drew\drewjo01,SF,22,ATL,74,2688,20.2,0.536,,0.407,10.9,15.9,13.4,8.6,1.7,0.6,,,5.7,2.2,7.9,0.142,3.5,-1.3,2.2,2.9
15,Billy Knight\knighbi01,SF,24,IND,78,3117,20.1,0.543,,0.3,6.8,11.5,9.1,13.4,1.7,0.3,,,8.8,1.9,10.7,0.164,4.5,-1.4,3.1,4
16,Elvin Hayes*\hayesel01,PF,31,WSB,82,3364,19.8,0.544,,0.405,9,22.1,15.7,7.1,1.2,3.3,,,6.6,5.5,12.1,0.173,1.9,1.5,3.4,4.6
17,Larry Kenon\kenonla01,PF,24,SAS,78,2936,19.8,0.536,,0.248,10,20.7,15.4,11.2,2.4,1,,,6.2,3.3,9.5,0.155,2.5,0.5,2.9,3.7
18,Moses Malone*\malonmo01,C,21,TOT,82,2506,19.8,0.54,,0.543,19.8,26.7,23.4,4.8,1.3,3.9,,,5.4,3.3,8.7,0.167,2.2,0.6,2.7,3
19,Pete Maravich*\maravpe01,SG,29,NOJ,73,3041,19.8,0.492,,0.293,2.9,8.9,6,22.3,1.2,0.4,,,4.2,2.2,6.4,0.101,3.6,-1.8,1.8,2.9
20,David Thompson*\thompda01,SG,22,DEN,82,3001,19.8,0.559,,0.383,4.8,6.5,5.7,17.7,1.6,0.9,,,7.6,3.1,10.7,0.172,3.9,-1,2.9,3.7
21,Larry McNeill\mcneila01,PF,26,TOT,24,230,19.6,0.526,,0.545,12,21.1,16.5,4,2,0.5,,,0.4,0.3,0.7,0.15,-0.1,-4.1,-4.3,-0.1
22,Tiny Archibald*\architi01,PG,28,NYN,34,1277,19.4,0.52,,0.448,1.7,4.8,3.2,33.8,2.1,0.5,,,1.8,1,2.8,0.104,4.1,-1.9,2.2,1.4
23,Rick Barry*\barryri01,SF,32,GSW,79,2904,19.3,0.5,,0.253,2.5,12.2,7.3,23.2,2.6,1,,,5.1,3.3,8.4,0.139,2.6,0.4,3,3.7
24,Mitch Kupchak\kupchmi01,C,22,WSB,82,1513,19.3,0.605,,0.413,12.7,20.7,16.8,6.2,0.7,1.1,,,4.1,1.9,5.9,0.188,2.6,-1.4,1.2,1.2
25,Robert Parish*\parisro01,C,23,GSW,77,1384,19.3,0.538,,0.298,14.6,25.1,19.8,7.3,1.8,3.5,,,2.5,2.3,4.8,0.167,0.9,0.6,1.5,1.2
26,Swen Nater\natersw01,C,27,MIL,72,1960,19.1,0.568,,0.314,14,31.8,22.8,7.5,1.2,1.3,,,4.5,2.4,6.9,0.168,1.5,-0.2,1.4,1.7
27,Adrian Dantley*\dantlad01,SF,20,BUF,77,2816,18.3,0.601,,0.556,8.9,12.1,10.5,7.7,1.4,0.3,,,8.2,1.6,9.8,0.167,3.5,-1.1,2.5,3.2
28,Maurice Lucas\lucasma01,PF,24,POR,79,2863,18.3,0.516,,0.323,9.9,22.2,16.2,11.5,1.3,1,,,4.9,3.9,8.7,0.147,1.6,0.1,1.8,2.7
29,Bubbles Hawkins\hawkiro01,SG,22,NYN,52,1481,18.2,0.487,,0.31,4.4,6.3,5.3,12.3,2.4,1,,,0.5,1.4,1.9,0.063,1.4,-2.2,-0.8,0.5
30,Earl Monroe*\monroea01,SG,32,NYK,77,2656,18.1,0.569,,0.309,1.8,6.9,4.4,19.8,1.5,0.4,,,6.2,1.6,7.8,0.141,3.2,-1.3,1.9,2.6
31,Rudy Tomjanovich\tomjaru01,PF,28,HOU,81,3130,17.9,0.552,,0.238,6.2,17.2,11.9,8.3,0.9,0.5,,,8.8,1.5,10.4,0.159,2.1,-1.3,0.8,2.2
32,Mickey Johnson\johnsmi01,PF,24,CHI,81,2847,17.6,0.506,,0.338,10.7,19.6,15.1,10.8,1.7,1.3,,,3.9,4.5,8.5,0.143,1.3,1,2.3,3.1
33,Rich Kelley\kelleri01,C,23,NOJ,76,1505,17.6,0.554,,0.51,13.7,23.9,18.9,18.5,1.3,2.1,,,1.9,2.4,4.3,0.138,2.1,2.6,4.7,2.6
34,Dan Roundfield\roundda01,PF,23,IND,61,1645,17.6,0.505,,0.326,10.3,20.6,15.3,6.1,1.7,4.1,,,1.7,2.2,3.9,0.115,-0.5,0.3,-0.2,0.8
35,Randy Smith\smithra01,SG,28,BUF,82,3094,17.6,0.507,,0.257,4.3,10.6,7.4,22.8,2.5,0.1,,,3.9,2.5,6.4,0.099,2.9,0,2.9,3.8
36,Brian Taylor\taylobr01,PG,25,KCK,72,2488,17.6,0.55,,0.276,3.5,6.5,5,18.5,3.6,0.4,,,5.1,2.8,7.9,0.152,3,0.7,3.7,3.6
37,Ron Boone\boonero01,SG,30,KCK,82,3021,17.5,0.521,,0.244,4.2,6.9,5.5,17.2,1.8,0.3,,,6.1,2,8.1,0.128,2.8,-1.5,1.3,2.5
38,Bob Dandridge\dandrbo01,SF,29,MIL,70,2501,17.5,0.514,,0.293,6,12.2,9.1,15.4,1.7,0.6,,,4.2,1.2,5.4,0.104,2.5,-0.8,1.7,2.4
39,Fred Brown\brownfr01,SG,28,SEA,72,2098,17.4,0.516,,0.171,3.2,8.4,5.7,13.7,2.7,0.5,,,3.9,2.2,6.1,0.14,1.3,-0.5,0.8,1.5
40,Calvin Murphy*\murphca01,PG,28,HOU,82,2764,17.4,0.542,,0.252,2.2,4.5,3.4,20.6,2.5,0.2,,,6.6,1.1,7.7,0.134,3.2,-1.6,1.6,2.5
41,Campy Russell\russeca02,SF,25,CLE,70,2109,17.3,0.497,,0.369,6.7,13.7,10.1,13.5,1.6,0.6,,,3.2,2.3,5.5,0.126,2.2,-0.4,1.8,2
42,Truck Robinson\robintr01,PF,25,TOT,77,2777,17.1,0.526,,0.358,9.5,21.8,15.6,8,1.1,0.7,,,4.2,3,7.3,0.125,0.8,-0.3,0.5,1.7
43,James Silas\silasja01,PG,27,SAS,22,356,17.1,0.553,,0.754,2,7.2,4.6,18.3,1.6,0.4,,,0.6,0.1,0.7,0.099,1.1,-3.5,-2.4,0
44,Mike Bantom\bantomi01,PF-SF,25,TOT,77,1909,16.8,0.531,,0.411,9.4,16.1,12.6,8.4,1.5,1.4,,,2.6,2.2,4.8,0.12,0.7,-0.3,0.4,1.2
45,Dave Cowens*\cowenda01,C,28,BOS,50,1888,16.8,0.485,,0.262,7.7,28.3,18.1,18.8,1.1,1.3,,,1.1,3.3,4.4,0.113,0.4,3,3.4,2.6
46,Mickey Davis\davismi02,SF,26,MIL,19,165,16.8,0.513,,0.368,6.9,11.4,9.1,16.1,1.6,1.2,,,0.3,0.1,0.4,0.102,0.3,-1.5,-1.2,0
47,Jamaal Wilkes*\wilkeja01,PF,23,GSW,76,2579,16.8,0.523,,0.27,6,16.7,11.3,11.2,2.2,0.3,,,4.3,2.9,7.3,0.135,1.1,0.1,1.2,2.1
48,Doug Collins\collido01,SG,25,PHI,58,2037,16.7,0.569,,0.304,3.3,6.1,4.8,19.6,1.5,0.4,,,4.6,1.6,6.2,0.145,2.1,-1.2,0.9,1.5
49,Dennis Johnson*\johnsde01,SG,22,SEA,81,1667,16.7,0.541,,0.507,9.5,9.1,9.3,10.6,3.3,1.8,,,2.2,2.3,4.5,0.13,1.7,1.6,3.4,2.3
50,Lonnie Shelton\sheltlo01,PF,21,NYK,82,2104,16.7,0.511,,0.269,11.2,20.2,15.8,9.6,2.6,2.4,,,1.2,3.4,4.6,0.105,0.7,2,2.8,2.5
