Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
1,Mahmoud Abdul-Rauf\abdulma02,PG,31,VAN,41,486,16.7,0.514,0.057,0.11800000000000001,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,0.7,0.0,0.7,0.07,0.8,-5.3,-4.5,-0.3,West
2,Tariq Abdul-Wahad\abdulta01,SG,26,DEN,29,420,5.8,0.43799999999999994,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.9,0.0,-5.9,-0.4,West
3,Shareef Abdur-Rahim\abdursh01,SF,24,VAN,81,3241,19.1,0.5489999999999999,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.3,0.9,2.2,3.5,West
4,Cory Alexander\alexaco01,PG,27,ORL,26,227,6.3,0.40700000000000003,0.28600000000000003,0.321,0.0,12.5,6.1,23.5,3.6,0.0,28.1,17.3,-0.5,0.3,-0.1,-0.031,-5.9,-0.1,-6.1,-0.2,East
5,Courtney Alexander\alexaco02,PG,23,TOT,65,1382,11.6,0.484,0.08,0.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,0.3,0.5,0.8,0.027000000000000003,-1.8,-2.5,-4.4,-0.8,NaN
5,Courtney Alexander\alexaco02,PG,23,DAL,38,472,6.8,0.40399999999999997,0.055999999999999994,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,-0.5,0.4,-0.1,-0.013000000000000001,-4.8,-1.8,-6.6,-0.5,West
5,Courtney Alexander\alexaco02,PG,23,WAS,27,910,14.2,0.519,0.091,0.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,0.9,0.1,0.9,0.048,-0.3,-2.9,-3.2,-0.3,East
6,Ray Allen*\allenra02,SG,25,MIL,82,3129,22.9,0.61,0.35700000000000004,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.21100000000000002,6.5,-0.9,5.6,6.0,East
7,Rafer Alston\alstora01,PG,24,MIL,37,288,12.1,0.429,0.35700000000000004,0.155,1.6,10.6,6.1,34.6,2.4,0.0,18.2,17.2,0.1,0.2,0.3,0.055,-1.8,-2.7,-4.5,-0.2,East
8,John Amaechi\amaecjo01,C,30,ORL,82,1710,8.7,0.455,0.012,0.47100000000000003,4.9,12.7,8.7,7.0,0.8,1.2,14.8,21.7,-1.3,1.4,0.0,0.001,-5.1,-1.8,-6.9,-2.1,East
9,Derek Anderson\anderde01,SG,26,SAS,82,2859,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,2.6,1.0,3.6,4.0,West
10,Kenny Anderson\anderke01,PG,30,BOS,33,849,12.2,0.47600000000000003,0.145,0.313,2.1,8.2,5.0,26.5,2.7,0.2,16.8,16.6,0.4,0.7,1.1,0.063,-2.0,-1.3,-3.2,-0.3,East
11,Nick Anderson\anderni01,SG,33,SAC,21,169,6.4,0.33299999999999996,0.684,0.0,2.0,13.7,8.0,11.0,3.0,1.6,10.9,16.7,-0.3,0.3,0.0,-0.011000000000000001,-4.0,0.9,-3.1,0.0,West
12,Shandon Anderson\andersh01,SG,27,HOU,82,2396,11.9,0.528,0.28800000000000003,0.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,1.9,2.0,3.9,0.078,-0.2,0.8,0.6,1.6,West
13,Greg Anthony\anthogr01,PG,33,POR,58,856,12.0,0.525,0.628,0.138,3.0,5.4,4.3,14.8,2.5,0.3,13.8,16.9,0.9,0.7,1.6,0.09,1.0,-1.7,-0.6,0.3,West
14,Darrell Armstrong\armstda01,PG,32,ORL,75,2767,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,5.8,2.9,8.7,0.151,4.0,-0.5,3.5,3.8,East
15,Chucky Atkins\atkinch01,PG,26,DET,81,2363,12.2,0.48100000000000004,0.35600000000000004,0.13699999999999998,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,1.2,1.6,2.8,0.057,0.3,-2.2,-1.8,0.1,East
16,Stacey Augmon\augmost01,SG,32,POR,66,1182,12.3,0.511,0.015,0.327,6.3,9.7,8.0,12.7,2.2,1.3,13.6,13.9,1.3,1.2,2.5,0.102,-1.0,0.9,-0.2,0.6,West
17,Isaac Austin\austiis01,C,31,VAN,52,845,8.3,0.39299999999999996,0.08900000000000001,0.14800000000000002,6.8,23.1,15.0,11.2,1.2,1.9,15.8,18.5,-1.3,0.9,-0.5,-0.026000000000000002,-5.8,0.6,-5.2,-0.7,West
18,William Avery\averywi01,PG,21,MIN,55,463,9.0,0.48200000000000004,0.41,0.25,1.2,6.0,3.6,24.0,1.5,0.6,22.0,20.0,-0.2,0.2,0.0,-0.003,-3.0,-3.7,-6.7,-0.5,West
19,Dalibor Bagaric\bagarda01,C,20,CHI,35,259,3.3,0.304,0.015,0.431,9.7,16.2,12.8,6.2,1.9,4.6,21.4,17.6,-0.9,0.2,-0.7,-0.121,-9.3,0.6,-8.7,-0.4,East
20,Vin Baker\bakervi01,PF,29,SEA,76,2129,13.0,0.48100000000000004,0.019,0.391,9.7,13.5,11.6,7.0,0.9,2.5,14.1,23.8,0.6,1.2,1.8,0.04,-2.4,-1.3,-3.7,-0.9,West
21,Erick Barkley\barkler01,PG,22,POR,8,38,10.3,0.43200000000000005,0.364,0.0,0.0,9.1,4.7,28.8,2.8,0.0,18.5,33.0,-0.1,0.0,-0.1,-0.075,-3.4,-3.6,-7.0,0.0,West
22,Dana Barros\barroda01,PG,33,DET,60,1079,14.3,0.534,0.255,0.19399999999999998,0.6,8.9,4.7,18.0,1.4,0.1,11.8,20.4,1.4,0.8,2.3,0.10099999999999999,0.0,-2.1,-2.1,0.0,East
23,Brent Barry\barrybr01,SG,29,SEA,67,1778,16.6,0.66,0.5710000000000001,0.257,2.1,11.4,6.8,19.4,2.4,0.6,16.2,13.5,4.6,1.2,5.8,0.157,3.5,-0.3,3.2,2.3,West
24,Jon Barry\barryjo01,SG,31,SAC,62,1010,12.4,0.55,0.518,0.28600000000000003,1.8,8.1,5.0,19.0,1.4,0.4,15.6,14.9,1.5,0.9,2.4,0.114,0.0,-1.4,-1.4,0.2,West
25,Tony Battie\battito01,C,24,BOS,40,845,15.2,0.562,0.015,0.34299999999999997,9.7,23.1,16.1,3.3,1.7,5.4,13.8,14.4,1.0,1.3,2.3,0.131,-2.9,1.8,-1.2,0.2,East
