Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Quincy Acy\acyqu01,PF,24,NYK,68,1287,11.9,0.5329999999999999,0.18100000000000002,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,,1.0,0.7,1.7,0.063,,-2.3,-0.8,-3.1,-0.3,East
2,Jordan Adams\adamsjo01,SG,20,MEM,30,248,12.8,0.489,0.29100000000000004,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,,0.0,0.4,0.4,0.073,,-1.8,1.2,-0.6,0.1,West
3,Steven Adams\adamsst01,C,21,OKC,70,1771,14.1,0.5489999999999999,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,,1.9,2.2,4.1,0.111,,-1.4,1.8,0.4,1.1,West
4,Jeff Adrien\adrieje01,PF,28,MIN,17,215,14.2,0.494,0.0,0.8640000000000001,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,,0.2,0.2,0.4,0.087,,-2.7,0.5,-2.2,0.0,West
5,Arron Afflalo\afflaar01,SG,29,TOT,78,2502,10.7,0.5329999999999999,0.377,0.22399999999999998,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,,1.6,1.0,2.6,0.05,,-0.5,-1.3,-1.8,0.1,NaN
5,Arron Afflalo\afflaar01,SG,29,DEN,53,1750,11.7,0.5329999999999999,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,,1.4,0.4,1.8,0.05,,0.0,-1.6,-1.6,0.2,West
5,Arron Afflalo\afflaar01,SG,29,POR,25,752,8.2,0.5329999999999999,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,,0.2,0.5,0.8,0.049,,-1.5,-0.8,-2.3,-0.1,West
6,Alexis Ajinca\ajincal01,C,26,NOP,68,957,19.9,0.595,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,,1.9,1.2,3.2,0.159,,-0.5,0.6,0.2,0.5,West
7,Furkan Aldemir\aldemfu01,PF,23,PHI,41,540,12.0,0.517,0.064,0.34600000000000003,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,,0.7,0.7,1.4,0.122,,-2.7,2.0,-0.7,0.2,East
8,Cole Aldrich\aldrico01,C,26,NYK,61,976,18.1,0.513,0.0,0.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,,0.8,1.4,2.2,0.107,,-2.2,3.1,0.9,0.7,East
9,LaMarcus Aldridge\aldrila01,PF,29,POR,71,2512,22.8,0.528,0.07400000000000001,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,,4.9,3.7,8.6,0.165,,0.3,0.0,0.3,1.4,West
10,Lavoy Allen\allenla01,C,25,IND,63,1070,14.9,0.493,0.0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,,1.3,1.6,2.8,0.127,,-1.4,2.2,0.8,0.8,East
11,Tony Allen\allento01,SG,33,MEM,63,1648,14.6,0.528,0.064,0.27699999999999997,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,,0.9,3.2,4.1,0.11900000000000001,,-0.4,3.7,3.3,2.2,West
12,Al-Farouq Aminu\aminual01,SF,24,DAL,74,1366,14.4,0.504,0.34700000000000003,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,,1.2,2.0,3.3,0.115,,-0.5,2.9,2.4,1.5,West
13,Lou Amundson\amundlo01,PF,32,TOT,53,937,11.8,0.442,0.004,0.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,,-0.6,0.9,0.3,0.017,,-4.0,2.0,-2.0,0.0,NaN
13,Lou Amundson\amundlo01,PF,32,CLE,12,79,3.8,0.387,0.0,0.41700000000000004,7.4,21.5,14.5,8.7,0.7,0.0,26.0,11.0,,-0.1,0.1,0.0,-0.011000000000000001,,-6.2,-0.1,-6.3,-0.1,East
13,Lou Amundson\amundlo01,PF,32,NYK,41,858,12.5,0.444,0.004,0.337,11.6,22.0,16.7,12.6,1.3,5.0,17.0,18.0,,-0.5,0.8,0.4,0.02,,-3.8,2.2,-1.6,0.1,East
14,Chris Andersen\anderch01,C,36,MIA,60,1132,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,,2.1,1.5,3.6,0.151,,-1.2,2.3,1.0,0.9,East
15,Alan Anderson\anderal01,SG,32,BRK,74,1744,10.6,0.563,0.47700000000000004,0.23,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,,1.7,1.1,2.7,0.075,,0.0,-0.5,-0.5,0.6,East
16,Kyle Anderson\anderky01,SF,21,SAS,33,358,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,,-0.3,0.6,0.3,0.044000000000000004,,-5.2,2.4,-2.7,-0.1,West
17,Ryan Anderson\anderry01,PF,26,NOP,61,1675,15.6,0.524,0.49200000000000005,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,,2.6,0.9,3.5,0.1,,2.0,-3.1,-1.1,0.4,West
18,Giannis Antetokounmpo\antetgi01,SG,20,MIL,81,2541,14.8,0.552,0.055999999999999994,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,,2.2,4.0,6.2,0.11699999999999999,,-1.7,2.1,0.5,1.6,East
19,Carmelo Anthony\anthoca01,SF,30,NYK,40,1428,21.5,0.531,0.222,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,,2.2,0.6,2.9,0.09699999999999999,,3.5,-2.2,1.4,1.2,East
20,Joel Anthony\anthojo01,C,32,DET,49,406,14.7,0.607,0.0,0.355,8.2,17.0,12.4,1.8,1.5,9.5,14.3,9.1,,0.5,0.7,1.2,0.142,,-3.4,4.8,1.4,0.3,East
21,Pero Antic\anticpe01,C,32,ATL,63,1037,9.5,0.508,0.584,0.41600000000000004,6.6,14.0,10.4,6.9,0.9,1.1,12.3,17.6,,0.5,1.0,1.5,0.07,,-1.3,-1.4,-2.7,-0.2,East
22,Trevor Ariza\arizatr01,SF,29,HOU,82,2930,12.7,0.539,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,,2.7,3.9,6.6,0.10800000000000001,,0.6,1.3,1.9,2.9,West
23,Darrell Arthur\arthuda01,PF,26,DEN,58,988,11.5,0.466,0.28600000000000003,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20.0,,-0.1,0.9,0.9,0.042,,-1.8,0.7,-1.1,0.2,West
24,Omer Asik\asikom01,C,28,NOP,76,1982,15.5,0.545,0.0,0.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,,2.8,2.2,5.0,0.12,,-1.3,0.6,-0.7,0.6,West
25,D.J. Augustin\augusdj01,PG,27,TOT,82,1964,13.9,0.527,0.38,0.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,,2.5,0.9,3.4,0.083,,0.2,-2.7,-2.5,-0.3,NaN
25,D.J. Augustin\augusdj01,PG,27,DET,54,1287,15.8,0.536,0.325,0.36700000000000005,1.1,7.6,4.2,33.2,1.3,0.1,17.0,22.2,,2.0,0.6,2.5,0.094,,0.8,-3.1,-2.4,-0.1,East
25,D.J. Augustin\augusdj01,PG,27,OKC,28,677,10.2,0.503,0.516,0.19399999999999998,1.1,8.4,4.8,18.5,1.2,0.1,14.8,15.1,,0.5,0.4,0.9,0.063,,-0.9,-2.0,-2.8,-0.1,West
26,Jeff Ayres\pendeje02,PF,27,SAS,51,383,14.4,0.618,0.0,0.379,11.2,23.3,17.3,5.5,1.1,1.6,19.0,16.3,,0.6,0.6,1.2,0.147,,-2.1,0.4,-1.7,0.0,West
27,Luke Babbitt\babbilu01,SF,25,NOP,63,830,11.1,0.639,0.599,0.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,,1.1,0.5,1.6,0.092,,0.0,-1.4,-1.4,0.1,West
28,Cameron Bairstow\bairsca01,PF,24,CHI,18,64,2.1,0.309,0.0,0.35700000000000004,10.5,3.3,6.8,2.2,1.6,1.1,15.6,13.5,,-0.1,0.0,-0.1,-0.048,,-6.7,-1.0,-7.7,-0.1,East
29,Leandro Barbosa\barbole01,SG,32,GSW,66,982,15.3,0.5579999999999999,0.29,0.192,2.6,7.2,5.0,14.9,2.0,0.6,9.5,20.5,,1.6,1.2,2.8,0.13699999999999998,,0.4,-1.2,-0.8,0.3,West
30,J.J. Barea\bareajo01,PG,30,DAL,77,1362,15.1,0.502,0.312,0.175,1.8,9.0,5.4,29.6,1.2,0.1,10.8,21.2,,2.1,0.6,2.7,0.096,,1.0,-2.5,-1.5,0.2,West
31,Andrea Bargnani\bargnan01,C,29,NYK,29,785,16.6,0.527,0.114,0.29600000000000004,4.6,14.4,9.3,11.3,0.1,2.9,9.3,26.4,,0.8,0.2,0.9,0.057999999999999996,,-1.0,-2.7,-3.7,-0.3,East
32,Harrison Barnes\barneha02,SF,22,GSW,82,2318,13.4,0.573,0.32799999999999996,0.22899999999999998,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,,3.7,3.0,6.7,0.139,,0.5,0.6,1.1,1.8,West
33,Matt Barnes\barnema02,SF,34,LAC,76,2271,11.3,0.574,0.603,0.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,,2.2,2.1,4.3,0.091,,0.9,0.7,1.6,2.1,West
34,Earl Barron\barroea01,C,33,PHO,16,143,5.0,0.361,0.10300000000000001,0.308,10.6,10.8,10.7,4.9,1.4,1.1,10.1,15.1,,-0.1,0.1,0.0,-0.011000000000000001,,-5.0,-0.9,-5.9,-0.1,West
35,Will Barton\bartowi01,SG,24,TOT,58,983,13.6,0.503,0.24100000000000002,0.266,2.8,15.3,8.9,13.0,2.5,1.5,13.4,20.2,,0.2,1.1,1.3,0.063,,-1.7,1.1,-0.6,0.3,NaN
35,Will Barton\bartowi01,SG,24,POR,30,300,8.3,0.42200000000000004,0.18,0.15,1.1,10.8,6.1,13.4,2.4,1.0,13.8,18.5,,-0.4,0.4,0.0,0.002,,-4.9,0.8,-4.0,-0.2,West
35,Will Barton\bartowi01,SG,24,DEN,28,683,15.9,0.5329999999999999,0.265,0.312,3.5,17.2,10.1,12.8,2.5,1.7,13.3,21.0,,0.6,0.7,1.3,0.08900000000000001,,-0.4,1.2,0.9,0.5,West
36,Brandon Bass\bassbr01,PF,29,BOS,82,1929,16.3,0.557,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,,3.4,1.9,5.3,0.132,,-0.4,-0.1,-0.5,0.7,East
37,Nicolas Batum\batumni01,SF,26,POR,71,2380,13.1,0.516,0.515,0.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,,2.0,3.2,5.2,0.105,,0.6,2.6,3.1,3.1,West
38,Jerryd Bayless\bayleje01,PG,26,MIL,77,1717,11.1,0.519,0.233,0.266,1.5,12.5,7.0,21.0,1.8,0.6,18.8,18.6,,0.3,2.0,2.4,0.066,,-2.3,-0.3,-2.6,-0.3,East
39,Aron Baynes\baynear01,C,28,SAS,70,1122,15.9,0.618,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,,2.3,1.6,3.9,0.166,,-0.7,-0.2,-1.0,0.3,West
40,Kent Bazemore\bazemke01,SG,25,ATL,75,1324,9.7,0.52,0.39899999999999997,0.302,1.9,16.8,9.6,8.6,2.0,2.1,16.3,15.5,,-0.4,1.9,1.6,0.057,,-3.1,1.3,-1.8,0.1,East
41,Bradley Beal\bealbr01,SG,21,WAS,63,2107,14.0,0.521,0.304,0.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,,1.3,2.4,3.7,0.085,,0.5,-0.1,0.5,1.3,East
42,Michael Beasley\beaslmi01,PF,26,MIA,24,505,10.6,0.474,0.16,0.12300000000000001,2.9,17.9,10.6,11.5,1.6,2.2,14.2,24.2,,-0.6,0.5,-0.1,-0.006999999999999999,,-4.3,-0.4,-4.7,-0.3,East
43,Marco Belinelli\belinma01,SG,28,SAS,62,1388,12.4,0.5529999999999999,0.489,0.21100000000000002,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,,1.5,1.4,2.9,0.1,,0.6,-1.1,-0.5,0.5,West
44,Jerrelle Benimon\benimje01,PF,23,UTA,2,3,4.7,,,,38.7,76.6,57.8,0.0,0.0,0.0,100.0,15.3,,0.0,0.0,0.0,-0.215,,-20.3,-6.6,-26.9,0.0,West
45,Anthony Bennett\bennean01,PF,21,MIN,57,894,11.4,0.45799999999999996,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10.0,17.8,,-0.1,0.4,0.3,0.017,,-3.6,-1.2,-4.8,-0.6,West
46,Patrick Beverley\beverpa01,PG,26,HOU,56,1727,11.3,0.509,0.607,0.113,4.3,10.8,7.6,17.2,1.7,1.0,12.9,16.1,,1.7,1.8,3.5,0.096,,0.5,0.3,0.8,1.2,West
47,Sim Bhullar\bhullsi01,C,22,SAC,3,3,44.3,0.5,0.0,0.0,0.0,36.5,18.9,78.5,0.0,26.3,0.0,29.4,,0.0,0.0,0.0,0.389,,9.4,17.1,26.6,0.0,West
48,Bismack Biyombo\biyombi01,C,22,CHO,64,1243,15.2,0.578,0.0,0.941,13.7,22.6,18.0,2.0,0.7,6.3,16.5,11.6,,1.8,2.2,4.0,0.156,,-3.2,2.8,-0.4,0.5,East
49,Tarik Black\blackta01,C,23,TOT,63,1196,14.7,0.583,0.004,0.43200000000000005,12.8,21.4,17.0,5.6,0.8,1.6,12.9,13.8,,2.2,0.9,3.1,0.124,,-1.0,-0.6,-1.6,0.1,NaN
49,Tarik Black\blackta01,C,23,HOU,25,393,11.6,0.5479999999999999,0.012,0.349,16.3,19.3,17.8,3.1,0.8,0.4,16.6,12.7,,0.5,0.4,0.9,0.113,,-2.4,-1.3,-3.7,-0.2,West
49,Tarik Black\blackta01,C,23,LAL,38,803,16.3,0.598,0.0,0.46799999999999997,11.1,22.5,16.6,6.8,0.8,2.2,11.2,14.3,,1.7,0.4,2.2,0.129,,-0.3,-0.2,-0.5,0.3,West
50,DeJuan Blair\blairde01,PF,25,WAS,29,180,7.7,0.469,0.0,0.105,10.3,24.5,17.5,2.6,2.0,0.4,17.9,18.3,,-0.2,0.3,0.1,0.033,,-6.4,-1.0,-7.4,-0.2,East
51,Steve Blake\blakest01,PG,34,POR,81,1529,9.5,0.507,0.67,0.125,1.1,8.3,4.8,26.2,1.4,0.2,23.2,13.2,,0.7,1.4,2.1,0.066,,-1.2,-0.9,-2.1,0.0,West
52,Eric Bledsoe\bledser01,PG,25,PHO,81,2800,18.4,0.555,0.26,0.42200000000000004,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,,4.1,2.9,7.0,0.11900000000000001,,1.7,0.9,2.6,3.3,West
53,Vander Blue\blueva01,SG,22,LAL,2,74,4.0,0.342,0.33299999999999996,0.16699999999999998,2.9,10.9,6.7,16.8,2.1,0.0,15.7,23.0,,-0.3,0.0,-0.2,-0.156,,-6.0,-2.5,-8.5,-0.1,West
54,Bojan Bogdanovic\bogdabo02,SF,25,BRK,78,1854,11.6,0.562,0.444,0.184,3.0,9.8,6.4,5.8,0.9,0.4,11.1,17.2,,1.7,0.7,2.4,0.062,,0.0,-1.9,-1.8,0.1,East
55,Andrew Bogut\bogutan01,C,30,GSW,67,1583,15.8,0.565,0.0,0.11800000000000001,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,,1.9,3.4,5.2,0.159,,-1.4,5.5,4.1,2.4,West
56,Matt Bonner\bonnema01,PF,34,SAS,72,935,10.1,0.536,0.5479999999999999,0.161,3.6,10.2,7.0,7.1,0.5,1.0,4.3,12.5,,1.3,0.9,2.1,0.11,,-0.2,-0.7,-0.9,0.3,West
57,Trevor Booker\booketr01,PF,27,UTA,79,1564,15.3,0.536,0.18100000000000002,0.319,10.3,19.0,14.7,9.0,1.5,2.1,14.3,18.1,,1.7,1.9,3.6,0.11,,-0.6,0.7,0.2,0.9,West
58,Carlos Boozer\boozeca01,PF,33,LAL,71,1692,16.4,0.517,0.0,0.20199999999999999,7.0,25.2,15.7,10.3,1.2,0.6,10.2,23.7,,1.2,1.0,2.2,0.062,,-1.8,-1.5,-3.3,-0.6,West
59,Chris Bosh\boshch01,C,30,MIA,44,1556,19.8,0.5479999999999999,0.226,0.311,3.6,20.0,12.0,12.0,1.4,1.4,10.1,28.4,,2.1,1.5,3.6,0.111,,1.0,-1.0,-0.1,0.8,East
60,Avery Bradley\bradlav01,SG,24,BOS,77,2428,11.5,0.507,0.348,0.099,2.0,8.9,5.4,8.9,1.7,0.5,9.4,21.0,,0.4,2.1,2.5,0.049,,-0.8,-0.9,-1.7,0.2,East
61,Elton Brand\brandel01,C,35,ATL,36,486,9.4,0.457,0.011000000000000001,0.242,6.8,16.4,11.8,6.4,1.8,4.3,14.6,11.6,,-0.1,0.8,0.7,0.07,,-4.5,3.1,-1.4,0.1,East
62,Corey Brewer\breweco01,SF,28,TOT,80,2087,13.9,0.507,0.292,0.281,4.2,11.7,7.9,13.8,2.7,0.7,12.7,21.6,,1.0,2.1,3.1,0.071,,-0.8,-0.3,-1.1,0.5,NaN
62,Corey Brewer\breweco01,SF,28,MIN,24,680,13.8,0.484,0.182,0.34700000000000003,5.2,10.8,7.9,18.6,4.0,0.5,16.2,20.1,,0.0,0.4,0.4,0.027999999999999997,,-0.5,0.4,-0.1,0.3,West
62,Corey Brewer\breweco01,SF,28,HOU,56,1407,14.0,0.516,0.33399999999999996,0.255,3.8,12.1,8.0,11.5,2.1,0.8,11.2,22.4,,1.0,1.6,2.7,0.091,,-1.0,-0.6,-1.6,0.2,West
63,Aaron Brooks\brookaa01,PG,30,CHI,82,1885,14.4,0.534,0.38299999999999995,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25.0,,1.7,1.5,3.3,0.083,,1.0,-2.4,-1.4,0.3,East
64,Jabari Brown\brownja01,SG,22,LAL,19,568,11.0,0.547,0.365,0.5,0.6,6.7,3.5,11.0,1.1,0.3,13.4,18.8,,0.4,0.0,0.4,0.033,,-0.8,-3.0,-3.8,-0.3,West
65,Lorenzo Brown\brownlo01,PG,24,MIN,29,549,11.0,0.46799999999999997,0.23,0.156,2.8,12.0,7.3,24.9,2.6,0.9,18.7,12.9,,0.1,0.2,0.3,0.025,,-1.9,-0.6,-2.6,-0.1,West
66,Markel Brown\brownma02,SG,23,BRK,47,781,9.1,0.45899999999999996,0.305,0.271,2.3,13.0,7.7,7.4,2.1,1.2,10.3,15.3,,-0.2,0.7,0.5,0.031,,-3.0,0.3,-2.7,-0.1,East
67,Shannon Brown\brownsh01,SG,29,MIA,5,89,4.4,0.48200000000000004,0.368,0.21100000000000002,0.0,1.3,0.7,5.2,2.4,0.0,16.2,13.1,,-0.1,0.0,0.0,-0.016,,-4.2,-1.9,-6.1,-0.1,East
68,Kobe Bryant\bryanko01,SG,36,LAL,35,1207,17.6,0.47700000000000004,0.258,0.33799999999999997,2.3,16.5,9.1,29.9,2.0,0.5,13.5,34.9,,-0.4,0.6,0.2,0.006,,1.6,-1.3,0.3,0.7,West
