BPM,DBPM,OBPM,PER,VORP,WS,Year,Moved_to
-141.59999999999997,-56.10000000000001,-85.79999999999998,-165.59999999999997,8.499999999999998,75.0,2018,East
-79.09999999999998,-54.49999999999999,-24.499999999999996,-68.89999999999999,5.800000000000001,73.9,2017,East
-136.69999999999996,-84.90000000000002,-51.50000000000001,-133.7,19.700000000000003,125.89999999999998,2016,East
-117.59999999999997,-23.4,-93.90000000000003,-182.79999999999998,22.39999999999999,93.50000000000001,2015,East
-183.10000000000002,-74.30000000000001,-108.89999999999999,-166.50000000000003,18.8,93.0,2014,East
-62.19999999999999,30.20000000000001,-92.20000000000002,-134.8,28.400000000000006,105.00000000000006,2013,East
-101.0,-42.999999999999986,-58.30000000000001,-129.3,24.9,105.50000000000001,2012,East
-206.59999999999994,-40.4,-166.4,-262.09999999999997,8.800000000000002,109.10000000000001,2011,East
-136.89999999999998,-47.69999999999998,-89.6,-121.89999999999998,15.200000000000005,97.89999999999999,2010,East
-138.89999999999998,-21.8,-117.4,-193.40000000000003,18.099999999999998,88.9,2009,East
-42.0,-18.0,-24.2,-40.099999999999994,13.100000000000001,66.10000000000001,2008,East
-98.79999999999998,-22.299999999999994,-76.59999999999998,-117.0,13.700000000000005,90.19999999999997,2007,East
-92.80000000000001,-11.7,-81.4,-143.30000000000007,22.700000000000014,107.39999999999999,2006,East
-209.0999999999999,-37.60000000000001,-171.20000000000002,-230.39999999999998,14.999999999999995,101.00000000000004,2005,East
-156.6,-41.9,-114.90000000000002,-167.90000000000003,10.600000000000003,86.29999999999998,2004,East
-55.70000000000001,-18.99999999999999,-36.800000000000004,-68.50000000000001,10.0,61.5,2003,East
-69.8,-21.299999999999997,-48.29999999999999,-94.39999999999993,17.9,96.39999999999999,2002,East
-145.30000000000007,-40.79999999999999,-104.30000000000001,-135.9,0.6000000000000003,58.90000000000001,2001,East
-138.00000000000003,-49.400000000000006,-88.3,-118.69999999999997,1.3999999999999995,40.30000000000001,2000,East
-126.20000000000002,-46.19999999999999,-80.19999999999999,-75.70000000000003,12.4,97.70000000000002,1999,East
-181.79999999999998,-50.400000000000006,-131.0,-175.10000000000008,16.299999999999997,117.7,1998,East
-130.39999999999998,-30.59999999999999,-99.59999999999998,-155.09999999999997,28.6,131.09999999999997,1997,East
-129.0,-38.79999999999999,-90.19999999999999,-122.59999999999997,7.0,58.29999999999999,1996,East
-80.2,-18.7,-61.7,-81.60000000000001,13.300000000000002,65.89999999999999,1995,East
-57.6,-10.700000000000003,-46.6,-60.10000000000001,6.699999999999999,56.00000000000001,1994,East
-99.60000000000004,-28.099999999999998,-71.30000000000001,-105.10000000000001,12.999999999999998,74.69999999999999,1993,East
-89.10000000000001,-37.50000000000001,-51.8,-86.50000000000001,9.199999999999998,64.9,1992,East
-134.79999999999998,-16.3,-118.4,-153.8,6.700000000000002,56.90000000000001,1991,East
-79.5,-4.9,-75.09999999999998,-91.8,9.0,73.60000000000001,1990,East
-189.3,-49.80000000000001,-139.8,-205.8,3.0999999999999996,68.00000000000003,1989,East
-49.099999999999994,-9.999999999999998,-39.2,-52.300000000000004,-1.5999999999999994,18.9,1988,East
-61.5,-28.7,-32.900000000000006,-40.900000000000006,11.8,54.79999999999999,1987,East
-50.0,-9.1,-40.7,-53.89999999999999,3.9999999999999996,27.099999999999998,1986,East
-55.50000000000001,-14.1,-41.400000000000006,-66.5,5.1,43.99999999999999,1985,East
-77.0,-7.199999999999999,-69.6,-131.20000000000002,5.800000000000001,52.000000000000014,1984,East
-46.10000000000001,-16.700000000000003,-29.3,-40.19999999999999,13.800000000000002,72.8,1983,East
-61.300000000000004,-29.699999999999992,-31.4,-40.89999999999999,7.3,58.0,1982,East
-28.099999999999998,14.899999999999997,-42.80000000000001,-53.7,29.9,114.40000000000003,1981,East
-98.79999999999998,-10.100000000000003,-88.5,-145.30000000000004,9.3,59.09999999999999,1980,East
-30.400000000000006,-7.3999999999999995,-22.799999999999997,-30.000000000000007,23.000000000000004,82.39999999999999,1979,East
-25.800000000000004,-12.100000000000001,-13.8,0.0,15.600000000000001,71.2,1978,East
