BPM,DBPM,OBPM,PER,VORP,WS,Year,Moved_to
-78.10000000000001,-13.299999999999994,-65.19999999999997,-50.900000000000006,29.1,104.49999999999996,2018,West
-40.3,1.4999999999999991,-41.800000000000004,-46.099999999999994,18.599999999999998,85.29999999999998,2017,West
-123.19999999999999,-31.800000000000008,-91.5,-151.8,12.100000000000001,104.79999999999998,2016,West
-117.39999999999996,-30.300000000000004,-87.5,-138.30000000000007,10.0,89.59999999999998,2015,West
-132.19999999999996,-51.800000000000004,-79.89999999999999,-130.39999999999995,11.800000000000006,95.79999999999998,2014,West
-69.60000000000001,33.2,-102.70000000000002,-157.29999999999995,21.400000000000002,87.1,2013,West
-150.49999999999997,-53.79999999999998,-96.5,-158.09999999999997,11.300000000000002,101.5,2012,West
-204.40000000000003,-35.20000000000002,-168.29999999999998,-228.0,17.100000000000012,130.79999999999995,2011,West
-180.39999999999995,-37.500000000000014,-143.10000000000005,-220.10000000000008,9.299999999999999,84.00000000000003,2010,West
-103.00000000000001,-10.100000000000005,-93.30000000000003,-140.59999999999997,16.599999999999998,90.4,2009,West
-64.09999999999998,1.9000000000000008,-67.0,-93.00000000000003,12.399999999999999,75.60000000000001,2008,West
-140.3,-44.599999999999994,-96.10000000000001,-186.1,16.599999999999994,97.6,2007,West
-170.40000000000003,-32.9,-137.99999999999997,-227.29999999999998,7.400000000000004,85.99999999999997,2006,West
-235.69999999999996,-59.10000000000002,-175.90000000000006,-182.00000000000003,33.6,176.6,2005,West
-102.10000000000002,-33.300000000000004,-69.30000000000001,-100.20000000000002,23.2,93.90000000000002,2004,West
-81.90000000000002,-20.400000000000002,-61.3,-61.89999999999999,13.9,80.29999999999998,2003,West
-178.5,-39.29999999999999,-139.5,-204.80000000000004,15.299999999999995,86.10000000000001,2002,West
-59.60000000000001,-21.8,-37.300000000000004,-44.8,7.0,71.30000000000003,2001,West
-66.2,-26.099999999999994,-40.1,-85.00000000000001,12.999999999999998,46.8,2000,West
-101.89999999999996,-51.099999999999994,-50.39999999999999,-112.19999999999999,26.4,111.8,1999,West
-206.30000000000004,-59.0,-148.1,-220.5,4.3000000000000025,85.8,1998,West
-121.60000000000001,-18.800000000000004,-102.89999999999999,-185.7,20.0,109.80000000000001,1997,West
-63.4,-7.1999999999999975,-56.1,-79.3,11.600000000000003,63.29999999999999,1996,West
-98.6,-4.899999999999999,-93.6,-105.0,8.8,52.599999999999994,1995,West
-83.60000000000001,-1.8000000000000007,-82.0,-108.5,7.999999999999999,43.8,1994,West
-59.10000000000001,-21.1,-38.099999999999994,-58.20000000000001,14.300000000000002,62.79999999999999,1993,West
-31.3,-15.299999999999999,-16.0,-33.699999999999996,5.000000000000001,47.900000000000006,1992,West
-172.1,-47.199999999999996,-124.89999999999999,-171.5,-2.700000000000001,54.99999999999997,1991,West
-83.80000000000003,-32.49999999999999,-51.10000000000001,-47.4,18.6,97.40000000000002,1990,West
-96.69999999999999,-1.299999999999999,-95.2,-124.5,2.3,47.69999999999999,1989,West
-118.6,-28.200000000000003,-90.3,-139.4,-2.1,18.800000000000004,1988,West
-49.7,-15.0,-34.7,-72.00000000000001,4.699999999999999,31.1,1987,West
-39.8,-5.7,-34.2,-62.00000000000001,3.2,29.400000000000002,1986,West
-40.2,-8.799999999999999,-31.3,-52.2,7.500000000000002,38.199999999999996,1985,West
-110.50000000000001,-14.799999999999999,-95.79999999999998,-132.8,1.0999999999999994,45.29999999999999,1984,West
-51.29999999999999,-12.500000000000002,-38.9,-57.09999999999999,22.400000000000006,83.60000000000001,1983,West
-30.0,-4.3,-25.799999999999997,-21.199999999999996,2.2999999999999994,33.0,1982,West
-38.39999999999999,-8.3,-29.999999999999996,-58.500000000000014,35.5,149.79999999999998,1981,West
-84.2,-8.0,-76.1,-100.80000000000001,7.399999999999999,69.3,1980,West
-72.39999999999998,-28.500000000000004,-44.300000000000004,-61.00000000000002,19.000000000000004,82.3,1979,West
-36.699999999999996,-12.5,-24.3,0.0,6.5,46.69999999999999,1978,West
