BPM,DBPM,OBPM,PER,VORP,WS,Year,Moved_to
-78.10000000000001,-13.299999999999994,-65.19999999999997,-50.900000000000006,29.1,104.49999999999996,2018,West
-141.59999999999997,-56.10000000000001,-85.79999999999998,-165.59999999999997,8.499999999999998,75.0,2018,East
-40.3,1.4999999999999991,-41.800000000000004,-46.099999999999994,18.599999999999998,85.29999999999998,2017,West
-79.09999999999998,-54.49999999999999,-24.499999999999996,-68.89999999999999,5.800000000000001,73.9,2017,East
-123.19999999999999,-31.800000000000008,-91.5,-151.8,12.100000000000001,104.79999999999998,2016,West
-136.69999999999996,-84.90000000000002,-51.50000000000001,-133.7,19.700000000000003,125.89999999999998,2016,East
-117.39999999999996,-30.300000000000004,-87.5,-138.30000000000007,10.0,89.59999999999998,2015,West
-117.59999999999997,-23.4,-93.90000000000003,-182.79999999999998,22.39999999999999,93.50000000000001,2015,East
-132.19999999999996,-51.800000000000004,-79.89999999999999,-130.39999999999995,11.800000000000006,95.79999999999998,2014,West
-183.10000000000002,-74.30000000000001,-108.89999999999999,-166.50000000000003,18.8,93.0,2014,East
-69.60000000000001,33.2,-102.70000000000002,-157.29999999999995,21.400000000000002,87.1,2013,West
-62.19999999999999,30.20000000000001,-92.20000000000002,-134.8,28.400000000000006,105.00000000000006,2013,East
-150.49999999999997,-53.79999999999998,-96.5,-158.09999999999997,11.300000000000002,101.5,2012,West
-101.0,-42.999999999999986,-58.30000000000001,-129.3,24.9,105.50000000000001,2012,East
-204.40000000000003,-35.20000000000002,-168.29999999999998,-228.0,17.100000000000012,130.79999999999995,2011,West
-206.59999999999994,-40.4,-166.4,-262.09999999999997,8.800000000000002,109.10000000000001,2011,East
-180.39999999999995,-37.500000000000014,-143.10000000000005,-220.10000000000008,9.299999999999999,84.00000000000003,2010,West
-136.89999999999998,-47.69999999999998,-89.6,-121.89999999999998,15.200000000000005,97.89999999999999,2010,East
-103.00000000000001,-10.100000000000005,-93.30000000000003,-140.59999999999997,16.599999999999998,90.4,2009,West
-138.89999999999998,-21.8,-117.4,-193.40000000000003,18.099999999999998,88.9,2009,East
-64.09999999999998,1.9000000000000008,-67.0,-93.00000000000003,12.399999999999999,75.60000000000001,2008,West
-42.0,-18.0,-24.2,-40.099999999999994,13.100000000000001,66.10000000000001,2008,East
-140.3,-44.599999999999994,-96.10000000000001,-186.1,16.599999999999994,97.6,2007,West
-98.79999999999998,-22.299999999999994,-76.59999999999998,-117.0,13.700000000000005,90.19999999999997,2007,East
-170.40000000000003,-32.9,-137.99999999999997,-227.29999999999998,7.400000000000004,85.99999999999997,2006,West
-92.80000000000001,-11.7,-81.4,-143.30000000000007,22.700000000000014,107.39999999999999,2006,East
-235.69999999999996,-59.10000000000002,-175.90000000000006,-182.00000000000003,33.6,176.6,2005,West
-209.0999999999999,-37.60000000000001,-171.20000000000002,-230.39999999999998,14.999999999999995,101.00000000000004,2005,East
-102.10000000000002,-33.300000000000004,-69.30000000000001,-100.20000000000002,23.2,93.90000000000002,2004,West
-156.6,-41.9,-114.90000000000002,-167.90000000000003,10.600000000000003,86.29999999999998,2004,East
-81.90000000000002,-20.400000000000002,-61.3,-61.89999999999999,13.9,80.29999999999998,2003,West
-55.70000000000001,-18.99999999999999,-36.800000000000004,-68.50000000000001,10.0,61.5,2003,East
-178.5,-39.29999999999999,-139.5,-204.80000000000004,15.299999999999995,86.10000000000001,2002,West
-69.8,-21.299999999999997,-48.29999999999999,-94.39999999999993,17.9,96.39999999999999,2002,East
-59.60000000000001,-21.8,-37.300000000000004,-44.8,7.0,71.30000000000003,2001,West
-145.30000000000007,-40.79999999999999,-104.30000000000001,-135.9,0.6000000000000003,58.90000000000001,2001,East
-66.2,-26.099999999999994,-40.1,-85.00000000000001,12.999999999999998,46.8,2000,West
-138.00000000000003,-49.400000000000006,-88.3,-118.69999999999997,1.3999999999999995,40.30000000000001,2000,East
-101.89999999999996,-51.099999999999994,-50.39999999999999,-112.19999999999999,26.4,111.8,1999,West
-126.20000000000002,-46.19999999999999,-80.19999999999999,-75.70000000000003,12.4,97.70000000000002,1999,East
-206.30000000000004,-59.0,-148.1,-220.5,4.3000000000000025,85.8,1998,West
-181.79999999999998,-50.400000000000006,-131.0,-175.10000000000008,16.299999999999997,117.7,1998,East
-121.60000000000001,-18.800000000000004,-102.89999999999999,-185.7,20.0,109.80000000000001,1997,West
-130.39999999999998,-30.59999999999999,-99.59999999999998,-155.09999999999997,28.6,131.09999999999997,1997,East
-63.4,-7.1999999999999975,-56.1,-79.3,11.600000000000003,63.29999999999999,1996,West
-129.0,-38.79999999999999,-90.19999999999999,-122.59999999999997,7.0,58.29999999999999,1996,East
-98.6,-4.899999999999999,-93.6,-105.0,8.8,52.599999999999994,1995,West
-80.2,-18.7,-61.7,-81.60000000000001,13.300000000000002,65.89999999999999,1995,East
-83.60000000000001,-1.8000000000000007,-82.0,-108.5,7.999999999999999,43.8,1994,West
-57.6,-10.700000000000003,-46.6,-60.10000000000001,6.699999999999999,56.00000000000001,1994,East
-59.10000000000001,-21.1,-38.099999999999994,-58.20000000000001,14.300000000000002,62.79999999999999,1993,West
-99.60000000000004,-28.099999999999998,-71.30000000000001,-105.10000000000001,12.999999999999998,74.69999999999999,1993,East
-31.3,-15.299999999999999,-16.0,-33.699999999999996,5.000000000000001,47.900000000000006,1992,West
-89.10000000000001,-37.50000000000001,-51.8,-86.50000000000001,9.199999999999998,64.9,1992,East
-172.1,-47.199999999999996,-124.89999999999999,-171.5,-2.700000000000001,54.99999999999997,1991,West
-134.79999999999998,-16.3,-118.4,-153.8,6.700000000000002,56.90000000000001,1991,East
-83.80000000000003,-32.49999999999999,-51.10000000000001,-47.4,18.6,97.40000000000002,1990,West
-79.5,-4.9,-75.09999999999998,-91.8,9.0,73.60000000000001,1990,East
-96.69999999999999,-1.299999999999999,-95.2,-124.5,2.3,47.69999999999999,1989,West
-189.3,-49.80000000000001,-139.8,-205.8,3.0999999999999996,68.00000000000003,1989,East
-118.6,-28.200000000000003,-90.3,-139.4,-2.1,18.800000000000004,1988,West
-49.099999999999994,-9.999999999999998,-39.2,-52.300000000000004,-1.5999999999999994,18.9,1988,East
-49.7,-15.0,-34.7,-72.00000000000001,4.699999999999999,31.1,1987,West
-61.5,-28.7,-32.900000000000006,-40.900000000000006,11.8,54.79999999999999,1987,East
-39.8,-5.7,-34.2,-62.00000000000001,3.2,29.400000000000002,1986,West
-50.0,-9.1,-40.7,-53.89999999999999,3.9999999999999996,27.099999999999998,1986,East
-40.2,-8.799999999999999,-31.3,-52.2,7.500000000000002,38.199999999999996,1985,West
-55.50000000000001,-14.1,-41.400000000000006,-66.5,5.1,43.99999999999999,1985,East
-110.50000000000001,-14.799999999999999,-95.79999999999998,-132.8,1.0999999999999994,45.29999999999999,1984,West
-77.0,-7.199999999999999,-69.6,-131.20000000000002,5.800000000000001,52.000000000000014,1984,East
-51.29999999999999,-12.500000000000002,-38.9,-57.09999999999999,22.400000000000006,83.60000000000001,1983,West
-46.10000000000001,-16.700000000000003,-29.3,-40.19999999999999,13.800000000000002,72.8,1983,East
-30.0,-4.3,-25.799999999999997,-21.199999999999996,2.2999999999999994,33.0,1982,West
-61.300000000000004,-29.699999999999992,-31.4,-40.89999999999999,7.3,58.0,1982,East
-38.39999999999999,-8.3,-29.999999999999996,-58.500000000000014,35.5,149.79999999999998,1981,West
-28.099999999999998,14.899999999999997,-42.80000000000001,-53.7,29.9,114.40000000000003,1981,East
-84.2,-8.0,-76.1,-100.80000000000001,7.399999999999999,69.3,1980,West
-98.79999999999998,-10.100000000000003,-88.5,-145.30000000000004,9.3,59.09999999999999,1980,East
-72.39999999999998,-28.500000000000004,-44.300000000000004,-61.00000000000002,19.000000000000004,82.3,1979,West
-30.400000000000006,-7.3999999999999995,-22.799999999999997,-30.000000000000007,23.000000000000004,82.39999999999999,1979,East
-36.699999999999996,-12.5,-24.3,0.0,6.5,46.69999999999999,1978,West
-25.800000000000004,-12.100000000000001,-13.8,0.0,15.600000000000001,71.2,1978,East
